type,name,description,parent_name,matches,is_default,attrs
currency,FJD,Fijian Dollar,,,FALSE,symbol=$
currency,FKP,Falkland Islands Pound,,,FALSE,symbol=£
currency,GBP,British Pound Sterling,,sterling|pound|pound sterling,FALSE,symbol=£
currency,GBp,British Penny (1/100 GBP),,gbx|pence|penny,FALSE,symbol=p
currency,GEL,Georgian Lari,,,FALSE,symbol=₾
currency,GHS,Ghanaian Cedi,,,FALSE,symbol=₵
currency,GIP,Gibraltar Pound,,,FALSE,symbol=£
currency,GMD,Gambian Dalasi,,,FALSE,symbol=D
currency,GNF,Guinean Franc,,,FALSE,symbol=FG
currency,GTQ,Guatemalan Quetzal,,,FALSE,symbol=Q
currency,GYD,Guyanaese Dollar,,,FALSE,symbol=$
currency,HKD,Hong Kong Dollar,,,FALSE,symbol=HK$
currency,HNL,Honduran Lempira,,,FALSE,symbol=L
currency,HRK,Croatian Kuna,,,FALSE,symbol=kn
currency,HTG,Haitian Gourde,,,FALSE,symbol=G
currency,HUF,Hungarian Forint,,,FALSE,symbol=Ft
currency,IDR,Indonesian Rupiah,,,FALSE,symbol=Rp
currency,ILS,Israeli New Shekel,,shekel,FALSE,symbol=₪
currency,INR,Indian Rupee,,,FALSE,symbol=₹
currency,IQD,Iraqi Dinar,,,FALSE,symbol=ع.د
currency,IRR,Iranian Rial,,,FALSE,symbol=﷼
currency,ISK,Icelandic Króna,,,FALSE,symbol=kr
currency,JMD,Jamaican Dollar,,,FALSE,symbol=J$
currency,JOD,Jordanian Dinar,,,FALSE,symbol=د.ا
currency,JPY,Japanese Yen,,yen,FALSE,symbol=¥
currency,KES,Kenyan Shilling,,,FALSE,symbol=KSh
currency,KGS,Kyrgystani Som,,,FALSE,symbol=с
currency,KHR,Cambodian Riel,,,FALSE,symbol=៛
currency,KMF,Comorian Franc,,,FALSE,symbol=CF
currency,KPW,North Korean Won,,,FALSE,symbol=₩
currency,KRW,South Korean Won,,won,FALSE,symbol=₩
currency,KWD,Kuwaiti Dinar,,,FALSE,symbol=د.ك
currency,KYD,Cayman Islands Dollar,,,FALSE,symbol=$
currency,KZT,Kazakhstani Tenge,,,FALSE,symbol=₸
currency,LAK,Laotian Kip,,,FALSE,symbol=₭
currency,LBP,Lebanese Pound,,,FALSE,symbol=ل.ل
currency,LKR,Sri Lankan Rupee,,,FALSE,symbol=Rs
currency,LRD,Liberian Dollar,,,FALSE,symbol=$
currency,LSL,Lesotho Loti,,,FALSE,symbol=L
currency,LYD,Libyan Dinar,,,FALSE,symbol=ل.د
currency,MAD,Moroccan Dirham,,,FALSE,symbol=د.م.
currency,MDL,Moldovan Leu,,,FALSE,symbol=L
currency,MGA,Malagasy Ariary,,,FALSE,symbol=Ar
currency,MKD,Macedonian Denar,,,FALSE,symbol=ден
currency,MMK,Myanma Kyat,,,FALSE,symbol=K
currency,MNT,Mongolian Tugrik,,,FALSE,symbol=₮
currency,MOP,Macanese Pataca,,,FALSE,symbol=P
currency,MRU,Mauritanian Ouguiya,,,FALSE,symbol=UM
currency,MUR,Mauritian Rupee,,,FALSE,symbol=₨
currency,MVR,Maldivian Rufiyaa,,,FALSE,symbol=.ރ
currency,MWK,Malawian Kwacha,,,FALSE,symbol=MK
currency,MXN,Mexican Peso,,,FALSE,symbol=$
currency,MYR,Malaysian Ringgit,,,FALSE,symbol=RM
currency,MZN,Mozambican Metical,,,FALSE,symbol=MT
currency,NAD,Namibian Dollar,,,FALSE,symbol=$
currency,NGN,Nigerian Naira,,,FALSE,symbol=₦
currency,NIO,Nicaraguan Córdoba,,,FALSE,symbol=C$
currency,NOK,Norwegian Krone,,norwegian crown,FALSE,symbol=kr
currency,NPR,Nepalese Rupee,,,FALSE,symbol=रू
currency,NZD,New Zealand Dollar,,kiwi,FALSE,symbol=NZ$
currency,OMR,Omani Rial,,,FALSE,symbol=ر.ع.
currency,PAB,Panamanian Balboa,,,FALSE,symbol=B/.
currency,PEN,Peruvian Sol,,,FALSE,symbol=S/.
currency,PGK,Papua New Guinean Kina,,,FALSE,symbol=K
currency,PHP,Philippine Peso,,,FALSE,symbol=₱
currency,PKR,Pakistani Rupee,,,FALSE,symbol=₨
currency,PLN,Polish Złoty,,zloty,FALSE,symbol=zł
currency,PYG,Paraguayan Guarani,,,FALSE,symbol=₲
currency,QAR,Qatari Rial,,,FALSE,symbol=ر.ق
currency,RON,Romanian Leu,,,FALSE,symbol=lei
currency,RSD,Serbian Dinar,,,FALSE,symbol=дин
currency,RUB,Russian Ruble,,rouble|ruble,FALSE,symbol=₽
currency,RWF,Rwandan Franc,,,FALSE,symbol=FRw
currency,SAR,Saudi Riyal,,riyal,FALSE,symbol=ر.س
currency,SBD,Solomon Islands Dollar,,,FALSE,symbol=$
currency,SCR,Seychellois Rupee,,,FALSE,symbol=₨
currency,SDG,Sudanese Pound,,,FALSE,symbol=ج.س.
currency,SEK,Swedish Krona,,swedish crown,FALSE,symbol=kr
currency,SGD,Singapore Dollar,,,FALSE,symbol=S$
currency,SHP,Saint Helena Pound,,,FALSE,symbol=£
currency,SLE,Sierra Leonean Leone,,,FALSE,symbol=Le
currency,SLL,Sierra Leonean Leone,,,FALSE,symbol=Le
currency,SOS,Somali Shilling,,,FALSE,symbol=Sh
currency,SRD,Surinamese Dollar,,,FALSE,symbol=$
currency,SSP,South Sudanese Pound,,,FALSE,symbol=£
currency,STN,São Tomé and Príncipe Dobra,,,FALSE,symbol=Db
currency,SYP,Syrian Pound,,,FALSE,symbol=£
currency,SZL,Swazi Lilangeni,,,FALSE,symbol=L
currency,THB,Thai Baht,,baht,FALSE,symbol=฿
currency,TJS,Tajikistani Somoni,,,FALSE,symbol=ЅМ
currency,TMT,Turkmenistani Manat,,,FALSE,symbol=m
currency,TND,Tunisian Dinar,,,FALSE,symbol=د.ت
currency,TOP,Tongan Paʻanga,,,FALSE,symbol=T$
currency,TRY,Turkish Lira,,lira,FALSE,symbol=₺
currency,TTD,Trinidad and Tobago Dollar,,,FALSE,symbol=TT$
currency,TWD,New Taiwan Dollar,,,FALSE,symbol=NT$
currency,TZS,Tanzanian Shilling,,,FALSE,symbol=TSh
currency,UAH,Ukrainian Hryvnia,,,FALSE,symbol=₴
currency,UGX,Ugandan Shilling,,,FALSE,symbol=USh
currency,USD,US Dollar,,dollar|us dollars|american dollar|United States Dollar,FALSE,symbol=$
currency,UYU,Uruguayan Peso,,,FALSE,symbol=$U
currency,UZS,Uzbekistan Som,,,FALSE,symbol=сўм
currency,VES,Venezuelan Bolívar,,VEB,FALSE,symbol=Bs.S
currency,VND,Vietnamese Đồng,,dong,FALSE,symbol=₫
currency,VUV,Vanuatu Vatu,,,FALSE,symbol=VT
currency,WST,Samoan Tala,,,FALSE,symbol=WS$
currency,XAF,CFA Franc BEAC,,,FALSE,symbol=FCFA
currency,XAG,Silver Ounce,,silver,FALSE,symbol=Ag
currency,XAU,Gold Ounce,,gold,FALSE,symbol=Au
currency,XCD,East Caribbean Dollar,,,FALSE,symbol=EC$
currency,XDR,Special Drawing Rights,,,FALSE,symbol=SDR
currency,XOF,CFA Franc BCEAO,,,FALSE,symbol=CFA
currency,XPD,Palladium Ounce,,palladium,FALSE,symbol=Pd
currency,XPF,CFP Franc,,,FALSE,symbol=₣
currency,XPT,Platinum Ounce,,platinum,FALSE,symbol=Pt
currency,YER,Yemeni Rial,,,FALSE,symbol=﷼
currency,ZAR,South African Rand,,rand,FALSE,symbol=R
currency,ZMW,Zambian Kwacha,,,FALSE,symbol=ZK
currency,ZWL,Zimbabwean Dollar,,,FALSE,symbol=$
