mstar_country,curr_name,iso_curr,curr_code
falkland islands (malvinas),falkland islands pound,FKP,238
faroe islands,danish krone,DKK,208
fiji,fiji dollar,FJD,242
finland,euro,EUR,978
france,euro,EUR,978
french guiana,euro,EUR,978
french polynesia,cfp franc,XPF,953
french southern territories,euro,EUR,978
gabon,cfa franc beac,XAF,950
gambia,dalasi,GMD,270
georgia,lari,GEL,981
germany,euro,EUR,978
ghana,ghana cedi,GHS,936
gibraltar,gibraltar pound,GIP,292
greece,euro,EUR,978
greenland,danish krone,DKK,208
grenada,east caribbean dollar,XCD,951
guadeloupe,euro,EUR,978
guam,us dollar,USD,840
guatemala,quetzal,GTQ,320
guernsey,pound sterling,GBP,826
guinea,guinea franc,GNF,324
guinea-bissau,cfa franc bceao,XOF,952
guyana,guyana dollar,GYD,328
haiti,gourde,HTG,332
heard island and mcdonald islands,australian dollar,AUD,36
holy see,euro,EUR,978
honduras,lempira,HNL,340
hong kong,hong kong dollar,HKD,344
hongkong,hong kong dollar,HKD,344
hungary,forint,HUF,348
iceland,iceland krona,ISK,352
india,indian rupee,INR,356
indonesia,rupiah,IDR,360
"iran, islamic republic of",iranian rial,IRR,364
iraq,iraqi dinar,IQD,368
ireland,euro,EUR,978
isle of man,pound sterling,GBP,826
israel,new israeli sheqel,ILS,376
italy,euro,EUR,978
jamaica,jamaican dollar,JMD,388
japan,yen,JPY,392
jersey,pound sterling,GBP,826
jordan,jordanian dinar,JOD,400
kazakhstan,tenge,KZT,398
kenya,kenyan shilling,KES,404
kiribati,australian dollar,AUD,36
"korea, democratic people's republic of",north korean won,KPW,408
kuwait,kuwaiti dinar,KWD,414
kyrgyzstan,som,KGS,417
lao people's democratic republic,kip,LAK,418
latvia,euro,EUR,978
lebanon,lebanese pound,LBP,422
lesotho,loti,LSL,426
liberia,liberian dollar,LRD,430
libya,libyan dinar,LYD,434
liechtenstein,swiss franc,CHF,756
lithuania,euro,EUR,978
luxembourg,euro,EUR,978
macao,pataca,MOP,446
madagascar,malagasy ariary,MGA,969
malawi,kwacha,MWK,454
malaysia,malaysian ringgit,MYR,458
maldives,rufiyaa,MVR,462
mali,cfa franc bceao,XOF,952
malta,euro,EUR,978
marshall islands,us dollar,USD,840
martinique,euro,EUR,978
mauritania,ouguiya,MRU,929
mauritius,mauritius rupee,MUR,480
mayotte,euro,EUR,978
mexico,mexican peso,MXN,484
"micronesia, federated states of",us dollar,USD,840
"moldova, republic of",moldovan leu,MDL,498
monaco,euro,EUR,978
mongolia,tugrik,MNT,496
montenegro,euro,EUR,978
montserrat,east caribbean dollar,XCD,951
morocco,moroccan dirham,MAD,504
mozambique,mozambique metical,MZN,943
myanmar,kyat,MMK,104
namibia,namibia dollar,NAD,516
nauru,australian dollar,AUD,36
nepal,nepalese rupee,NPR,524
netherlands,euro,EUR,978
new caledonia,cfp franc,XPF,953
new zealand,new zealand dollar,NZD,554
newzealand,new zealand dollar,NZD,554
nicaragua,cordoba oro,NIO,558
niger,cfa franc bceao,XOF,952
nigeria,naira,NGN,566
niue,new zealand dollar,NZD,554
norfolk island,australian dollar,AUD,36
north macedonia,denar,MKD,807
northern mariana islands,us dollar,USD,840
norway,norwegian krone,NOK,578
oman,rial omani,OMR,512
pakistan,pakistan rupee,PKR,586
palau,us dollar,USD,840
"palestine, state of",no universal currency,,
panama,us dollar,USD,840
papua new guinea,kina,PGK,598
paraguay,guarani,PYG,600
peru,nuevo sol,PEN,604
philippines,philippine peso,PHP,608
pitcairn,new zealand dollar,NZD,554
poland,zloty,PLN,985
portugal,euro,EUR,978
puerto rico,us dollar,USD,840
qatar,qatari rial,QAR,634
romania,romanian leu,RON,946
russia,russian ruble,RUB,643
rwanda,rwanda franc,RWF,646
réunion,euro,EUR,978
saint barthélemy,euro,EUR,978
"saint helena, ascension and tristan da cunha",saint helena pound,SHP,654
saint kitts and nevis,east caribbean dollar,XCD,951
saint lucia,east caribbean dollar,XCD,951
saint martin (french part),euro,EUR,978
saint pierre and miquelon,euro,EUR,978
saint vincent and the grenadines,east caribbean dollar,XCD,951
samoa,tala,WST,882
san marino,euro,EUR,978
sao tome and principe,dobra,STN,930
saudi arabia,saudi riyal,SAR,682
senegal,cfa franc bceao,XOF,952
serbia,serbian dinar,RSD,941
seychelles,seychelles rupee,SCR,690
sierra leone,leone,SLE,925
singapore,singapore dollar,SGD,702
sint maarten (dutch part),netherlands antillean guilder,ANG,532
slovakia,euro,EUR,978
slovenia,euro,EUR,978
solomon islands,solomon islands dollar,SBD,90
somalia,somali shilling,SOS,706
south georgia and the south sandwich islands,no universal currency,,
south korea,won,KRW,410
south sudan,south sudanese pound,SSP,728
southafrica,rand,ZAR,710
southkorea,won,KRW,410
spain,euro,EUR,978
sri lanka,sri lanka rupee,LKR,144
sudan,sudanese pound,SDG,938
suriname,surinam dollar,SRD,968
svalbard and jan mayen,norwegian krone,NOK,578
sweden,swedish krona,SEK,752
switzerland,swiss franc,CHF,756
syrian arab republic,syrian pound,SYP,760
taiwan,new taiwan dollar,TWD,901
tajikistan,somoni,TJS,972
"tanzania, united republic of",tanzanian shilling,TZS,834
thailand,baht,THB,764
timor-leste,us dollar,USD,840
togo,cfa franc bceao,XOF,952
tokelau,new zealand dollar,NZD,554
tonga,pa’anga,TOP,776
trinidad and tobago,trinidad and tobago dollar,TTD,780
tunisia,tunisian dinar,TND,788
turkey,turkish lira,TRY,949
turkmenistan,turkmenistan new manat,TMT,934
turks and caicos islands,us dollar,USD,840
tuvalu,australian dollar,AUD,36
uganda,uganda shilling,UGX,800
ukraine,hryvnia,UAH,980
united arab emirates,uae dirham,AED,784
united kingdom,pound sterling,GBP,826
united states,us dollar,USD,840
united states minor outlying islands,us dollar,USD,840
unitedkingdom,pound sterling,GBP,826
unitedstates,us dollar,USD,840
uruguay,peso uruguayo,UYU,858
uzbekistan,uzbekistan sum,UZS,860
vanuatu,vatu,VUV,548
venezuela,bolivar,VEB,937
vietnam,dong,VND,704
virgin islands (british),us dollar,USD,840
virgin islands (u.s.),us dollar,USD,840
wallis and futuna,cfp franc,XPF,953
western sahara,moroccan dirham,MAD,504
yemen,yemeni rial,YER,886
zambia,zambian kwacha,ZMW,967
zimbabwe,zimbabwe dollar,ZWL,932
åland islands,euro,EUR,978
